"Order Item Id",id,"Product Name","Product Category Id","Product Category Name","Department Id","Department Name"
TK55341,1,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
TK82504,2,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC179213,3,"Smart watch ",73,"Sporting Goods",2,Fitness
TK101052,4,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK99195,5,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK82504,6,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK81079,7,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK82504,8,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK89644,9,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK121217,10,"Team Golf St. Louis Cardinals Putter Grip",40,Accessories,6,Outdoors
TK121561,11,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK89644,12,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC133575,13,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR179190,14,"Smart watch ",73,"Sporting Goods",2,Fitness
MC33012,15,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK87221,16,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
CR35536,17,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK99691,18,"Bridgestone e6 Straight Distance NFL Tennesse",37,Electronics,6,Outdoors
MC157266,19,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC179143,20,"Smart watch ",73,"Sporting Goods",2,Fitness
CR7094,21,"adidas Kids' F5 Messi FG Soccer Cleat",3,"Baseball & Softball",2,Fitness
CR179139,22,"Smart watch ",73,"Sporting Goods",2,Fitness
TK81629,23,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
CR24949,24,"Under Armour Women's Micro G Skulpt Running S",12,"Boxing & MMA",3,Footwear
TK87545,25,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK122319,26,"Glove It Women's Mod Oval Golf Glove",36,"Golf Balls",6,Outdoors
MC155664,27,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC36529,28,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC37625,29,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR162086,30,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK46447,31,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK114663,32,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK46447,33,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR179131,34,"Smart watch ",73,"Sporting Goods",2,Fitness
MC36529,35,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC179128,36,"Smart watch ",73,"Sporting Goods",2,Fitness
MC32808,37,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC154470,38,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR145886,39,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK114663,40,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC32808,41,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK124607,42,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK73253,43,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC166992,44,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR6997,45,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK54942,46,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC142724,47,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
CR6997,48,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
MC142724,49,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK104041,50,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC21247,51,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR43614,52,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC142724,53,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC21448,54,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC15114,55,"adidas Men's F10 Messi TRX FG Soccer Cleat",3,"Baseball & Softball",2,Fitness
MC137579,56,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
CR7152,57,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK75762,58,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK122319,59,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR7152,60,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK116189,61,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK131025,62,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK131025,63,"Team Golf Texas Longhorns Putter Grip",40,Accessories,6,Outdoors
TK131025,64,"Team Golf Pittsburgh Steelers Putter Grip",40,Accessories,6,Outdoors
MC162635,65,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR160746,66,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
MC166788,67,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK114663,68,"Glove It Women's Imperial Golf Glove",36,"Golf Balls",6,Outdoors
MC19770,69,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC2737,70,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC149601,71,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
CR146985,72,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC23286,73,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK126395,74,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK115042,75,"Under Armour Women's Ignite PIP VI Slide",13,Electronics,3,Footwear
TK104781,76,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK54948,77,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK53676,78,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK53979,79,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK70122,80,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK93572,81,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK94587,82,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
MC157266,83,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK96612,84,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
MC11672,85,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK102945,86,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC170721,87,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC137579,88,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK84074,89,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK122319,90,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
